Category,Bulgarian,Pronunciation,English
Expressions & Feelings,Обичам те.,O-bi-cham te.,I love you.
Expressions & Feelings,Липсваш ми.,Lips-vash mi.,I miss you.
Expressions & Feelings,Късмет!,Kas-met!,Good luck!
Food & Drinks,Една вода, моля.,Ed-na vo-da
Food & Drinks,Едно кафе.,Ed-no ka-fe.,One coffee.
Food & Drinks,Една бира.,Ed-na bi-ra.,One beer.
Food & Drinks,Хляб,Hlyab,Bread
Food & Drinks,Мляко,Mlya-ko,Milk
Food & Drinks,Кафе,Ka-fe,Coffee
Food & Drinks,Чай,Chai,Tea
Food & Drinks,Закуска,Za-koo-ska,Breakfast
Food & Drinks,Обяд,O-byad,Lunch
Food & Drinks,Вечеря,Ve-che-rya,Dinner
Food & Drinks,Вкусно е.,Vkoo-sno e.,It's delicious.
Food & Drinks,Аз съм гладен.,Az sam gla-den.,I am hungry. (m.)
Food & Drinks,Аз съм гладна.,Az sam glad-na.,I am hungry. (f.)
Food & Drinks,Аз съм жаден.,Az sam zha-den.,I am thirsty. (m.)
Fruits and Vegetables,Обичам ябълки.,Obicham yǎbǎlki.,I love apples.
Fruits and Vegetables,Бананът е жълт.,Bananǎt e zhǎlt.,The banana is yellow.
Fruits and Vegetables,Портокалът е сладък.,Portokalǎt e sladǎk.,The orange is sweet.
Fruits and Vegetables,Ям грозде.,Yam grozde.,I eat grapes.
Fruits and Vegetables,Динята е голяма.,Dinyata e golyama.,The watermelon is big.
Fruits and Vegetables,Крушата е сочна.,Krushata e sochna.,The pear is juicy.
Fruits and Vegetables,Лимонът е кисел.,Limonǎt e kisel.,The lemon is sour.
Fruits and Vegetables,Черешите са вкусни.,Chereshite sa vkusni.,The cherries are tasty.
Fruits and Vegetables,Ягодите са червени.,Yagodite sa cherveni.,The strawberries are red.
Fruits and Vegetables,Сливите са лилави.,Slivite sa lilavi.,The plums are purple.
Fruits and Vegetables,Морковът е оранжев.,Morkovǎt e oranzhev.,The carrot is orange.
Fruits and Vegetables,Картофите са в чантата.,Kartofite sa v chantata,The potatoes are in the bag.
Fruits and Vegetables,Лукът е бял.,Lukǎt e byal.,The onion is white.
Fruits and Vegetables,Чесънът е силен.,Chesǎnǎt e silen.,The garlic is strong.
Fruits and Vegetables,Доматите са червени.,Domatite sa cherveni.,The tomatoes are red.
Fruits and Vegetables,Краставицата е зелена.,Krastavitsata e zelena.,The cucumber is green.
Fruits and Vegetables,Пиперът е лютив.,Piperǎt e lyutiv.,The pepper is spicy.
Fruits and Vegetables,Зелето е прясно.,Zeletо e pryásno.,The cabbage is fresh.
Fruits and Vegetables,Спанакът е здравословен.,Spanakǎt e zdravoslovен.,The spinach is healthy.
Fruits and Vegetables,Харесваш ли плодове и зеленчуци?,Kharesvash li plodove i zelenchutsi?,Do you like fruits and vegetables?
Fruits and Vegetables,Ябълката на раздора.,Yǎbǎlkata na razdora.,The apple of discord (cause of conflict).
Fruits and Vegetables,Здрав като морков.,Zdrav kato morkov.,Healthy as a carrot.
Fruits and Vegetables,Като две капки вода.,Kato dve kapki voda.,Like two drops of water (identical).
Fruits and Vegetables,"Доматите са червени, но не винаги сладки.","Domatite sa cherveni, no ne vinagi sladki.","Tomatoes are red, but not always sweet (looks can deceive)."
Fruits and Vegetables,Горчив като лимон.,Gorchiv kato limon.,Bitter like a lemon.
Fruits and Vegetables,Пиперлив характер.,Piperliv kharakter.,Spicy character (fiery personality).
Fruits and Vegetables,Като зелка без листа.,Kato zelka bez lista.,Like a cabbage without leaves (empty-headed).
Fruits and Vegetables,Яж зеленчуците си!,Yaz zelenchutsite si!,Eat your vegetables!
Fruits and Vegetables,Една ябълка на ден държи доктора далеч.,Edna yǎbǎlka na den dǎrzhi doktora dalech.,An apple a day keeps the doctor away.
Fruits and Vegetables,Плодът на труда.,Plodǎt na truda.,The fruit of labour.
Getting Around,Къде е...?,Ka-de e...?,Where is...?
Getting Around,Къде е тоалетната?,Ka-de e to-a-let-na-ta?,Where is the toilet?
Getting Around,Наляво.,Na-lya-vo.,To the left.
Getting Around,Надясно.,Na-dyas-no.,To the right.
Getting Around,Отивам на...,O-ti-vam na...,I'm going to...
Getting Around,Колко е далеч?,Kol-ko e da-lech?,How far is it?
Getting Around,Искам един билет.,Is-kam edin bi-let.,I want one ticket.
Getting Around,За колко часа е?,Za kol-ko chasa e?,For what time is it?
Getting Around,Спира ли тук?,Spi-ra li took?,Does it stop here?
Getting Around,Може ли сметката?,Mo-zhe li smet-ka-ta?,Can I have the bill?
Greetings & Basics,Здравей.,Zdra-vey.,Hello. (inf.)
Greetings & Basics,Добро утро.,Dob-ro oo-tro.,Good morning.
Greetings & Basics,Добър ден.,Dob-uhr den.,Good day.
Greetings & Basics,Добър вечер.,Dob-uhr ve-cher.,Good evening.
Greetings & Basics,Лека нощ.,Le-ka nosht.,Good night.
Greetings & Basics,Довиждане.,Do-vizh-da-ne.,Goodbye.
Greetings & Basics,Как се казваш?,Kak se kaz-vash?,What's your name? (inf.)
Greetings & Basics,Казвам се...,Kaz-vam se...,My name is...
Greetings & Basics,Как си?,Kak si?,How are you? (inf.)
Greetings & Basics,Добре съм.,Do-bre sam.,I'm fine.
Greetings & Basics,Много добре.,Mnogo do-bre.,Very well.
Greetings & Basics,Благодаря.,Blago-da-rya.,Thank you.
Greetings & Basics,Моля.,Mo-lya.,You're welcome. / Please.
Greetings & Basics,Извинете.,Iz-vi-ne-te.,Excuse me. / Sorry. (form.)
Greetings & Basics,Съжалявам.,Sa-zha-lya-vam.,I'm sorry.
Greetings & Basics,Да.,Da.,Yes.
Greetings & Basics,Не.,Ne.,No.
Greetings & Basics,Разбирам.,Raz-bi-ram.,I understand.
Greetings & Basics,Не разбирам.,Ne raz-bi-ram.,I don't understand.
Greetings & Basics,Говорите ли английски?,Go-vo-ri-te li an-gliyski?,Do you speak English?
Practical Needs,Нуждая се от помощ.,Noozh-da-ya se ot pomosht.,I need help.
Practical Needs,Нямам идея.,Nya-mam i-de-ya.,I have no idea.
Practical Needs,Чакай!,Cha-kai!,Wait! (inf.)
Practical Needs,Бързай!,Buhr-zai!,Hurry up! (inf.)
Practical Needs,Тихо!,Ti-ho!,Quiet!
Practical Needs,Внимавай!,Vni-ma-vai!,Be careful! (inf.)
Practical Needs,Пусни ме.,Poos-ni me.,Let me go.
Practical Needs,Остани тук.,O-sta-ni took.,Stay here.
Practical Needs,Ела с мен.,E-la s men.,Come with me.
Practical Needs,Това е за мен.,To-va e za men.,This is for me.
Shopping and Dining,Колко струва?,Kol-ko stroo-va?,How much does it cost?
Shopping and Dining,Искам това.,Is-kam to-va.,I want this.
Shopping and Dining,Може ли да го видя?,Mo-zhe li da go vi-dya?,Can I see it?
Shopping and Dining,Имате ли...?,I-ma-te li...?,Do you have...?
Shopping and Dining,Това е твърде скъпо.,To-va e tva-rde ska-po.,This is too expensive.
Shopping and Dining,Може ли с карта?,Mo-zhe li s kar-ta?,Can I pay with a card?
Shopping and Dining,Искам да поръчам.,Is-kam da po-ra-cham.,I would like to order.
Shopping and Dining,Безплатно ли е?,Bez-plat-no li e?,Is it free?
Shopping and Dining,Къде мога да го купя?,Ka-de mo-ga da go koo-pya?,Where can I buy it?
Shopping and Dining,Менюто,Me-nyu-to,The menu
Shopping and Dining,"Може ли менюто, моля?","Mo-zhe li me-nyu-to, molya?","Can I have the menu, please?"
Shopping and Dining,Какво препоръчвате?,Kak-vo pre-po-rŭch-va-te?,What do you recommend?
Shopping and Dining,Имате ли нещо вегетарианско?,I-ma-te li ne-shto ve-ge-ta-ri-an-sko?,Do you have anything vegetarian?
Shopping and Dining,Имате ли безглутенови ястия?,I-ma-te li bez-glu-te-no-vi yas-ti-ya?,Do you have gluten-free dishes?
Shopping and Dining,Това не ям.,To-va ne yam.,I don’t eat this.
Shopping and Dining,"Без месо, моля.","Bez me-so, molya.","No meat, please."
Shopping and Dining,Само гледам.,Sa-mo gle-dam.,I'm just looking.
Shopping and Dining,Колко струва това ястие?,Kol-ko stroo-va to-va yas-ti-e?,How much is this dish?
Shopping and Dining,Това е много вкусно!,To-va e mno-go vkus-no!,This is very tasty!
Shopping and Dining,"Сметката, моля.","Smet-ka-ta, molya.","The bill, please."
Shopping and Dining,Може ли да разделим сметката?,Mo-zhe li da raz-de-lim smet-ka-ta?,Can we split the bill?
Shopping and Dining,Приемате ли карти?,Pri-e-ma-te li kar-ti?,Do you accept cards?
Shopping and Dining,Приемате ли плащане в брой?,Pri-e-ma-te li plash-ta-ne v broy?,Do you accept cash?
Shopping and Dining,Работи ли това?,Ra-bo-ti li to-va?,Does this work? (e.g. card)
Shopping and Dining,Имам нужда от чанта.,I-mam nuzh-da ot chan-ta.,I need a bag.
Shopping and Dining,Може ли да го пробвам?,Mo-zhe li da go prob-vam?,Can I try it on?
Shopping and Dining,Имате ли друг размер?,I-ma-te li drug raz-mer?,Do you have another size?
Shopping and Dining,Това е подарък.,To-va e po-da-rŭk.,This is a gift.
Shopping and Dining,"Благодаря, само това.","Bla-go-da-rya, sa-mo to-va.","Thank you, just this."
Social & Small Talk,От къде си?,Ot ka-de si?,Where are you from? (inf.)
Social & Small Talk,Аз съм от Англия.,Az sam ot Ang-li-ya.,I am from England.
Social & Small Talk,Коя е твоят любим филм?,Ko-ya e tvo-yat lyu-bim film?,What is your favorite movie?
Social & Small Talk,Какво правиш?,Kak-vo pra-vish?,What are you doing? (inf.)
Social & Small Talk,Хубав ден.,Hoo-bav den.,It's a nice day.
Social & Small Talk,Студено е.,Stoo-de-no e.,It's cold.
Social & Small Talk,Топло е.,Top-lo e.,It's warm.
Social & Small Talk,Честит рожден ден!,Che-stit rozh-den den!,Happy birthday!
Social & Small Talk,Честито!,Che-sti-to!,Congratulations!
Social & Small Talk,Какво е това?,Kak-vo e to-va?,What is this?
Time & Dates,Колко е часът?,Kol-ko e chas-at?,What time is it?
Time & Dates,Кой ден е днес?,Koy den e dnes?,What day is it today?
Time & Dates,Днес,Dnes,Today
Time & Dates,Утре,Oo-tre,Tomorrow
Time & Dates,Вчера,Vche-ra,Yesterday
Time & Dates,Сутринта,Soo-trin-ta,In the morning
Time & Dates,Следобед,Sled-o-bed,In the afternoon
Time & Dates,Вечер,Ve-cher,In the evening
Time & Dates,Понеделник,Po-ne-del-nik,Monday
Time & Dates,Юли,Yoo-li,July
Time & Dates,Лято,Lya-to,Summer
Time & Dates,Сега е колко часа?,Se-ga e kol-ko cha-sa?,What time is it now?
Time & Dates,В колко часа започва?,V kol-ko cha-sa za-poch-va?,What time does it start?
Time & Dates,В колко часа свършва?,V kol-ko cha-sa svŭr-shva?,What time does it end?
Time & Dates,Имам среща в три часа.,I-mam sresh-ta v tri cha-sa.,I have a meeting at 3 o'clock.
Time & Dates,Колко дни ще останете?,Kol-ko dni shte o-sta-ne-te?,How many days will you stay?
Time & Dates,Ще се върна утре.,Shte se vŭr-na oo-tre.,I will return tomorrow.
Time & Dates,Ще се видим по-късно.,Shte se vi-dim po-kŭs-no.,See you later.
Time & Dates,Винаги закъснявам.,Vi-na-gi za-kŭs-nya-vam.,I'm always late.
Time & Dates,Никога не е навреме.,Ni-ko-ga ne e na-vre-me.,It's never on time.
Time & Dates,Понякога е трудно.,Po-nyak-o-ga e trud-no.,Sometimes it's hard.
Time & Dates,Често ходя там.,Ches-to kho-dya tam.,I often go there.
Time & Dates,Рядко го правя.,Ryad-ko go pra-vya.,I rarely do it.
Time & Dates,Веднъж седмично.,Ved-nŭzh sed-mi-chno.,Once a week.
Time & Dates,Два пъти на ден.,Dva pŭ-ti na den.,Twice a day.
Time & Dates,Всеки ден.,Vse-ki den.,Every day.
Time & Dates,Всеки понеделник.,Vse-ki po-ne-del-nik.,Every Monday.
Time & Dates,От понеделник до петък.,Ot po-ne-del-nik do pet-ŭk.,From Monday to Friday.
Time & Dates,През уикенда.,Prez wee-ken-da.,On the weekend.
Time & Dates,Каква е датата днес?,Kak-va e da-ta-ta dnes?,What's the date today?
Time & Dates,Моят рожден ден е през май.,Mo-yat rozh-den den e prez mai.,My birthday is in May.
