Category,Bulgarian,Transliteration,English,Grammar_Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7
Body Part,уста,usta,mouth,Feminine noun,,,
Body Part,зъб,zŭb,tooth,Masculine noun,,,
Body Part,коса,kosa,hair,Feminine noun,,,
Body Part,сърце,sŭrtse,heart,Neuter noun,,,
Body Part,стомах,stomah,stomach,Masculine noun,,,
Body Part,гръб,grŭb,back,Masculine noun,,,
Body Part,гърди,gardi,chest/breasts,Plural, feminine,,
Body Part,пръст,prŭst,finger/toe,Masculine noun,,,
Body Part,кожа,kozha,skin,Feminine noun,,,
Body Part,коремче,koremche,tummy,Diminutive, neuter,,
Body Part,ръчичка,rŭchichka,little hand,Diminutive, feminine,,
Body Part,краче,krache,little foot,Diminutive, neuter,,
Body Part,очичка,ochichka,little eye,Diminutive, feminine,,
Body Part,носле,nosle,little nose,Diminutive, neuter,,
Body Part,устичка,ustichka,little mouth,Diminutive, feminine,,
Body Part,зъбче,zŭbche,little tooth,Diminutive, neuter,,
Body Part,ушенце,ushentse,little ear,Diminutive, neuter,,
Body Part,лице,litse,face,Neuter noun,,,
Body Part,устни,ustni,lips,Plural, feminine,,
Body Part,език,ezik,tongue,Masculine noun,,,
Body Part,вежда,vezhda,eyebrow,Feminine noun,,,
Body Part,мигла,migla,eyelash,Feminine noun,,,
Body Part,буза,buza,cheek,Feminine noun,,,
Body Part,брадичка,bradichka,chin,Feminine noun,,,
Body Part,чело,chelo,forehead,Neuter noun,,,
Body Part,мозък,mozŭk,brain,Masculine noun,,,
Body Part,бял дроб,byal drob,lung,Masculine noun,,,
Body Part,черен дроб,cheren drob,liver,Masculine noun,,,
Body Part,черва,cherva,intestines,Plural, neuter,,
Body Part,бъбрек,bŭbrek,kidney,Masculine noun,,,
Body Part,пикочен мехур,pikochen mehur,bladder,Masculine noun,,,
Clothing,риза,riza,shirt,-,,,
Clothing,панталони,pantaloni,pants,-,,,
Clothing,рокля,roklya,dress,-,,,
Clothing,яке,yake,jacket,-,,,
Clothing,обувки,obuvki,shoes,-,,,
Clothing,чорапи,chorapi,socks,-,,,
Clothing,палто,palto,coat,-,,,
Clothing,шапка,shapka,hat,-,,,
Clothing,ръкавици,rŭkavitsi,gloves,-,,,
Clothing,коса,kosa,skirt,-,,,
Clothing,пуловер,pulover,sweater,-,,,
Colors,червен,cherven,red,Masculine,,,
Colors,червена,chervena,red,Feminine,,,
Colors,червено,cherveno,red,Neuter,,,
Colors,син,sin,blue,Masculine,,,
Colors,синя,sinya,blue,Feminine,,,
Colors,синьо,sinio,blue,Neuter,,,
Colors,зелен,zelen,green,Masculine,,,
Colors,зелена,zalena,green,Feminine,,,
Colors,зелено,zaleno,green,Neuter,,,
Colors,жълт,zhelt,yellow,Masculine,,,
Colors,жълта,zhelta,yellow,Feminine,,,
Colors,жълто,zhelto,yellow,Neuter,,,
Colors,бял,byal,white,Masculine,,,
Colors,бяла,byala,white,Feminine,,,
Colors,бяло,byalo,white,Neuter,,,
Colors,черен,cheren,black,Masculine,,,
Colors,черна,chernа,black,Feminine,,,
Colors,черно,chernо,black,Neuter,,,
Culture,мартеница,martenitsa,Martenitsa (red and white thread bracelet),A traditional adornment exchanged on March 1st for health and luck; worn until spring blossoms appear.,,,
Culture,кукери,kukeri,Kukeri (costumed dancers),Men in elaborate masks and costumes who perform rituals to scare away evil spirits and welcome spring.,,,
Culture,нестинарство,nestinarstvo,Nestinarstvo (fire-dancing ritual),A UNESCO‑recognized tradition where dancers walk barefoot on hot embers during religious festivals.,,,
Culture,сурвакане,survakane,Survakane (New Year’s blessing),Children tap adults with decorated sticks (survachka) on New Year’s Day, wishing health and prosperity.,,
Culture,хоро,horo,Horo (traditional circle dance),A popular Bulgarian folk dance performed in a circle or line, often at weddings and festivals.,,
Culture,баница,banitsa,Banitsa (traditional pastry),A layered pastry with cheese, eggs, and filo dough; often eaten at celebrations, sometimes with fortune slips inside.
Culture,кирилица,kirilitsa,Cyrillic alphabet,The Bulgarian alphabet, created in the 9th century by Saints Cyril and Methodius; a source of national pride.,,
Directions,Къде е...?,Kŭde e...?,Where is...?,Phrase,,,
Directions,Извинете, къде се намира...?,Izvinete, kŭde se namira...?,Excuse me, where is...?,Polite phrase
Directions,Как да стигна до...?,Kak da stigna do...?,How do I get to...?,Phrase,,,
Directions,Можете ли да ми кажете къде е...?,Mozhete li da mi kažete kŭde e...?,Can you tell me where ... is?,Polite phrase,,,
Directions,Има ли наблизо...?,Ima li nablizo...?,Is there a ... nearby?,Phrase,,,
Directions,Колко е далеч...?,Kolko e dalech...?,How far is...?,Phrase,,,
Directions,Завийте наляво,Zaviyte nalyavo,Turn left,Imperative verb,,,
Directions,Завийте надясно,Zaviyte nadyasno,Turn right,Imperative verb,,,
Directions,Вървете направо,Vŭrvete napravo,Go straight ahead,Imperative verb,,,
Directions,Спри тук, моля,Spri tuk, molya,Stop here, please,Imperative + polite
Directions,Това е близо,Tova e blizo,It’s nearby,Phrase,,,
Directions,Това е далеч,Tova e dalech,It’s far,Phrase,,,
Directions,Търся автогарата,Tŭrsya avtogarata,I’m looking for the bus station,Phrase,,,
Directions,Търся аптеката,Tŭrsya aptekata,I’m looking for the pharmacy,Phrase,,,
Directions,Търся хотел,Tŭrsya hotel,I’m looking for a hotel,Phrase,,,
Education,училище,uchilishte,school,Neuter noun,,,
Education,клас,klas,class/grade,Masculine noun,,,
Education,ученик,uchenik,student (male),Masculine noun,,,
Education,ученичка,uchenichka,student (female),Feminine noun,,,
Education,учител,uchitel,teacher (male),Masculine noun,,,
Education,учителка,uchitelka,teacher (female),Feminine noun,,,
Education,учебник,uchebnik,textbook,Masculine noun,,,
Education,тетрадка,tetradka,notebook,Feminine noun,,,
Education,писането,pisane,writing,Neuter noun,,,
Education,четенето,chetene,reading,Neuter noun,,,
Education,ученето,uchene,learning,Neuter noun,,,
Education,знание,znanie,knowledge,Neuter noun,,,
Education,въпрос,vŭpros,question,Masculine noun,,,
Education,отговор,otgovor,answer,Masculine noun,,,
Education,домашна работа,domashna rabota,homework,Feminine noun phrase,,,
Education,изпит,izpit,exam/test,Masculine noun,,,
Education,оценка,otsenka,grade/mark,Feminine noun,,,
Education,училищна чанта,uchilishna chanta,school bag,Feminine noun phrase,,,
Education,дъска,dŭska,board (chalk/white),Feminine noun,,,
Education,молив,moliv,pencil,Masculine noun,,,
Education,химикалка,himikalka,pen,Feminine noun,,,
Education,гума,guma,eraser,Feminine noun,,,
Education,ученически,uchenicheski,student (adjective),Masculine form,,,
Education,образователен,obrazovatelen,educational,Masculine adjective,,,
Family,баща,bashta,father,-,,,
Family,майка,mayka,mother,-,,,
Family,син,sin,son,-,,,
Family,дъщеря,dŭshtetya,daughter,-,,,
Family,брат,brat,brother,-,,,
Family,сестра,sestra,sister,-,,,
Family,дядо,dyado,grandfather,-,,,
Family,баба,baba,grandmother,-,,,
Family,чичо,chicho,uncle,-,,,
Family,леля,lelya,aunt,-,,,
Family,племенник,plemennik,nephew,-,,,
Family,племенница,plemennica,niece,-,,,
Family,съпруг,sŭprug,husband,-,,,
Family,съпруга,sŭpruga,wife,-,,,
Feelings,щастлив,shtastliv,happy,-,,,
Feelings,тъжен,tŭzhen,sad,-,,,
Feelings,яростен,yarostен,angry,-,,,
Feelings,изплашен,izplashen,scared,-,,,
Feelings,изненадан,iznenadan,surprised,-,,,
Feelings,уморен,umoren,tired,-,,,
Feelings,енергичен,energichen,energetic,-,,,
Feelings,спокоен,spokoen,calm,-,,,
Feelings,нервозен,nervozen,nervous,-,,,
Feelings,вълнуван,vŭlnuvan,excited,-,,,
Feelings,разочарован,razocharovan,disappointed,-,,,
Feelings,горд,gord,proud,-,,,
Feelings,смутен,smuten,confused,-,,,
Feelings,облекчен,oblekchen,relieved,-,,,
Feelings,любопитен,lyubopiten,curious,-,,,
Feminine,жена,zhena,woman,-,,,
Feminine,дъщеря,dŭshtetya,daughter,-,,,
Feminine,майка,mayka,mother,-,,,
Feminine,сестра,sestra,sister,-,,,
Feminine,приятелка,priyatelka,female friend,-,,,
Feminine,работа,rabota,work/job,-,,,
Feminine,вода,voda,water,-,,,
Feminine,кучка,kuchka,dog (female),-,,,
Food,ябълка,yabŭlka,apple,-,,,
Food,банан,banan,banana,-,,,
Food,портокал,portokal,orange,-,,,
Food,домат,domat,tomato,-,,,
Food,краставица,krastavica,cucumber,-,,,
Food,сирене,sirene,white cheese,-,,,
Food,месо,meso,meat,-,,,
Food,риба,riba,fish,-,,,
Food,пиле,pile,chicken,-,,,
Food,ориз,oriz,rice,-,,,
Food,картофи,kartofi,potatoes,-,,,
Food,хляб,hlyab,bread,-,,,
Food,вода,voda,water,-,,,
Food,мляко,mlyako,milk,-,,,
Food,вино,vino,wine,-,,,
Food,бира,bira,beer,-,,,
Health,здраве,zdrave,health,-,,,
Health,болест,bolest,illness,-,,,
Health,болка,bolka,pain,-,,,
Health,лекар,lekar,doctor,-,,,
Health,болница,bolnitsa,hospital,-,,,
Health,рецепта,retsepta,prescription,-,,,
Health,лекарство,lekarstvo,medicine,-,,,
Health,температура,temperatura,temperature,-,,,
Health,главоболие,glavobolie,headache,-,,,
Health,стомахоболие,stomahobolie,stomach ache,-,,,
Health,грип,grip,flu,-,,,
Health,настинка,nastinka,cold (illness),-,,,
Health,симптом,simptom,symptom,-,,,
Health,диагноза,diagnoza,diagnosis,-,,,
Health,лечение,lechenie,treatment,-,,,
House,стая,staya,room,-,,,
House,кухня,kuhnya,kitchen,-,,,
House,баня,banya,bathroom,-,,,
House,спалня,spalnya,bedroom,-,,,
House,хол,hol,living room,-,,,
House,врата,vrata,door,-,,,
House,прозорец,prozorets,window,-,,,
House,стена,stena,wall,-,,,
House,пода,poda,floor,-,,,
House,таван,tavan,ceiling,-,,,
House,мебели,mebeli,furniture,-,,,
House,стол,stol,chair,-,,,
House,маса,masa,table,-,,,
House,легло,leglo,bed,-,,,
House,лампа,lampa,lamp,-,,,
Nature,дърво,dŭrvo,tree,-,,,
Nature,цвете,tsvete,flower,-,,,
Nature,трева,treva,grass,-,,,
Nature,планина,planina,mountain,-,,,
Nature,река,reka,river,-,,,
Nature,езеро,ezero,lake,-,,,
Nature,море,more,sea,-,,,
Nature,океан,okean,ocean,-,,,
Nature,пясък,pyasŭk,sand,-,,,
Nature,камък,kamŭk,stone,-,,,
Nature,небе,nebe,sky,-,,,
Nature,слънце,slŭntse,sun,-,,,
Nature,луна,luna,moon,-,,,
Nature,звезда,zvezda,star,-,,,
Nature,облак,oblak,cloud,-,,,
Negation,не,ne,not,-,,,
Negation,никой,nikoy,nobody,-,,,
Negation,нищо,nishto,nothing,-,,,
Negation,никога,nikoga,never,-,,,
Negation,никъде,nikŭde,nowhere,-,,,
Negation,ничий,nichiy,no one's,-,,,
Negation,не,ne,no,not,,,
Nouns,човек,chovek,person,Masculine,,,
Nouns,жена,zhena,woman,Feminine,,,
Nouns,мъж,mŭzh,man,Masculine,,,
Nouns,дете,dete,child,Neuter,,,
Nouns,учител,uchitel,teacher,Masculine,,,
Nouns,учителка,uchitelka,teacher,Feminine,,,
Nouns,къща,kŭshta,house,Feminine,,,
Nouns,кола,kola,car,Feminine,,,
Nouns,книга,kniga,book,Feminine,,,
Nouns,град,grad,city,Masculine,,,
Nouns,държава,dŭrzhava,country,Feminine,,,
Nouns,език,ezik,language/tongue,Masculine,,,
Nouns,време,vreme,time/weather,Neuter,,,
Nouns,работа,rabota,work,Feminine,,,
Nouns,ден,den,day,Masculine,,,
Nouns,молив,moliv,pencil,Masculine.,,,
Nouns,книга,kniga,book,Feminine.,,,
Nouns,дете,dete,child,Neuter.,,,
Nouns,учител,uchitel,(male) teacher,Masculine.,,,
Nouns,учителка,uchitelka,(female) teacher,Feminine.,,,
Numbers,нула,nula,zero,Cardinal number,,,
Numbers,едно,edno,one,Neuter form,,,
Numbers,една,edna,one,Feminine form,,,
Numbers,един,edin,one,Masculine form,,,
Numbers,две,dve,two,Feminine/Neuter form,,,
Numbers,двама,dvama,two (people, masc.),Masculine animate form,,
Numbers,три,tri,three,Cardinal number,,,
Numbers,четири,chetiri,four,Cardinal number,,,
Numbers,пет,pet,five,Cardinal number,,,
Numbers,шест,shest,six,Cardinal number,,,
Numbers,седем,sedem,seven,Cardinal number,,,
Numbers,осем,osem,eight,Cardinal number,,,
Numbers,девет,devet,nine,Cardinal number,,,
Numbers,десет,deset,ten,Cardinal number,,,
Numbers,единадесет,edinadeset,eleven,Cardinal number,,,
Numbers,дванадесет,dvanadeset,twelve,Cardinal number,,,
Numbers,тринадесет,trinadeset,thirteen,Cardinal number,,,
Numbers,четиринадесет,chetirinadeset,fourteen,Cardinal number,,,
Numbers,петнадесет,petnadeset,fifteen,Cardinal number,,,
Numbers,шестнадесет,shestnadeset,sixteen,Cardinal number,,,
Numbers,седемнадесет,sedemnadeset,seventeen,Cardinal number,,,
Numbers,осемнадесет,osemnadeset,eighteen,Cardinal number,,,
Numbers,деветнадесет,devetnadeset,nineteen,Cardinal number,,,
Numbers,двадесет,dvadeset,twenty,Cardinal number,,,
Numbers,двадесет и едно,dvadeset i edno,21,Compound cardinal,,,
Numbers,двадесет и две,dvadeset i dve,22,Compound cardinal,,,
Numbers,двадесет и три,dvadeset i tri,23,Compound cardinal,,,
Numbers,двадесет и четири,dvadeset i chetiri,24,Compound cardinal,,,
Numbers,двадесет и пет,dvadeset i pet,25,Compound cardinal,,,
Numbers,двадесет и шест,dvadeset i shest,26,Compound cardinal,,,
Numbers,двадесет и седем,dvadeset i sedem,27,Compound cardinal,,,
Numbers,двадесет и осем,dvadeset i osem,28,Compound cardinal,,,
Numbers,двадесет и девет,dvadeset i devet,29,Compound cardinal,,,
Numbers,тридесет,trideset,30,Cardinal number,,,
Numbers,четиридесет,chetirideset,40,Cardinal number,,,
Numbers,петдесет,petdeset,50,Cardinal number,,,
Numbers,шестдесет,shestdeset,60,Cardinal number,,,
Numbers,седемдесет,sedemdeset,70,Cardinal number,,,
Numbers,осемдесет,osemdeset,80,Cardinal number,,,
Numbers,деветдесет,devetdeset,90,Cardinal number,,,
Numbers,деветдесет и девет,devetdeset i devet,99,Compound cardinal,,,
Numbers,сто,sto,100,Cardinal number,,,
Numbers,двеста,dvesta,200,Cardinal number,,,
Numbers,триста,trista,300,Cardinal number,,,
Numbers,четиристотин,chetiristotin,400,Cardinal number,,,
Numbers,петстотин,petstotin,500,Cardinal number,,,
Numbers,шестстотин,sheststotin,600,Cardinal number,,,
Numbers,седемстотин,sedemstotin,700,Cardinal number,,,
Numbers,осемстотин,osemstotin,800,Cardinal number,,,
Numbers,деветстотин,devetstotin,900,Cardinal number,,,
Phrases,Здравей,Zdravey,Hello (informal),-,,,
Phrases,Добро утро,Dobro utro,Good morning,-,,,
Phrases,Добър ден,Dobŭr den,Good day,-,,,
Phrases,Добър вечер,Dobŭr vecher,Good evening,-,,,
Phrases,Лека нощ,Leka nosht,Good night,-,,,
Phrases,Довиждане,Dovizhdane,Goodbye,-,,,
Phrases,До скоро,Do skoro,See you soon,-,,,
Phrases,Как се казваш?,Kak se kazvash?,What's your name?,-,,,
Phrases,Казвам се...,Kazvam se...,My name is...,-,,,
Phrases,Как си?,Kak si?,How are you? (informal),-,,,
Phrases,Добре съм,Dobre sŭm,I'm fine,-,,,
Phrases,Благодаря,Blagodarya,Thank you,-,,,
Phrases,Моля,Molya,Please/You're welcome,-,,,
Phrases,Извинете,Izvinete,Excuse me/Sorry,-,,,
Phrases,Да,Da,Yes,-,,,
Phrases,Не,Ne,No,-,,,
Phrases,Разбира се,Razbira se,Of course,-,,,
Phrases,Не разбирам,Ne razbiram,I don't understand,-,,,
Phrases,Говорите ли английски?,Govorite li angliyski?,Do you speak English?,-,,,
Phrases,Колко е часът?,Kolko e chasŭt?,What time is it?,-,,,
Phrases,Къде е...,Kŭde e...,Where is...,-,,,
Phrases,Добре съм.,Dobre sŭm.,I'm fine.,-,,,
Phrases,Моля.,Molya.,Please./You're welcome.,-,,,
Phrases,Благодаря.,Blagodarya.,Thank you.,-,,,
Phrases,Извинете.,Izvinete.,Excuse me./Sorry.,-,,,
Phrases,Да.,Da.,Yes.,-,,,
Phrases,Не.,Ne.,No.,-,,,
Phrases,Довиждане.,Dovizhdane.,Goodbye.,-,,,
Plural,моливи,molivi,pencils,Masculine plural,,,
Plural,книги,knigi,books,Feminine plural,,,
Plural,деца,deca,children,Neuter plural,,,
Plural,градове,gradove,cities,Masculine plural,,,
Plural,жени,zheni,women,Feminine plural,,,
Plural,моливи,molivi,pencils,Masculine plural.,,,
Plural,книги,knigi,books,Feminine plural (often ends with -и).,,,
Plural,деца,deca,children,Neuter plural (irregular).,,,
Plural,учители,uchiteli,teachers,Masculine plural.,,,
Prepositions,на,na,on/at/to,-,,,
Prepositions,в,v,in/into,-,,,
Prepositions,с,s,with,-,,,
Prepositions,без,bez,without,-,,,
Prepositions,за,za,for,-,,,
Prepositions,от,ot,from,-,,,
Prepositions,до,do,until/to,-,,,
Prepositions,при,pri,near/at,-,,,
Prepositions,против,protiv,against,-,,,
Prepositions,след,sled,after,-,,,
Prepositions,на,na,"of	 to",-,,,
Prepositions,в,v,"in	 at",-,,,
Prepositions,за,za,"for	 about",-,,,
Prepositions,от,ot,"from	 by",-,,,
Prepositions,до,do,"until	 up to",-,,,
Professions,лекар,lekar,doctor,-,,,
Professions,медицинска сестра,medicinska sestra,nurse,-,,,
Professions,учител,uchitel,teacher,-,,,
Professions,инженер,inzhener,engineer,-,,,
Professions,програмист,programist,programmer,-,,,
Professions,готвач,gotvach,cook,-,,,
Professions,служител,sluzhitel,clerk,-,,,
Professions,шофьор,shofyor,driver,-,,,
Professions,полицай,politsay,police officer,-,,,
Professions,пожарникар,pozharnikar,firefighter,-,,,
Professions,адвокат,advokat,lawyer,-,,,
Professions,архитект,arhitekt,architect,-,,,
Professions,художник,hudozhnik,artist,-,,,
Professions,музикант,muzikant,musician,-,,,
Professions,писател,pisatel,writer,-,,,
Pronouns,аз,az,I,Nominative,,,
Pronouns,ти,ti,you (sing),Nominative,,,
Pronouns,той,toy,he,Nominative,,,
Pronouns,тя,tya,she,Nominative,,,
Pronouns,то,to,it,Nominative,,,
Pronouns,ние,nie,we,Nominative,,,
Pronouns,вие,vie,you (pl/formal),Nominative,,,
Pronouns,те,te,they,Nominative,,,
Pronouns,мен,men,me,Accusative,,,
Pronouns,мен,men,me,Dative,,,
Pronouns,теб,teb,you,Accusative,,,
Pronouns,теб,teb,you,Dative,,,
Pronouns,него,nego,him,Accusative,,,
Pronouns,му,mu,him,Dative,,,
Pronouns,нея,neya,her,Accusative,,,
Pronouns,ѝ,i,her,Dative,,,
Pronouns,моя,moya,my,Masc possessive,,,
Pronouns,моята,moyata,my,Fem possessive,,,
Pronouns,твой,tvoy,your,Masc possessive,,,
Pronouns,твоята,tvoyata,your,Fem possessive,,,
Pronouns,аз,az,I,Subject pronoun.,,,
Pronouns,ти,ti,you (informal singular),Subject pronoun.,,,
Pronouns,той,toy,he,Subject pronoun.,,,
Pronouns,тя,tya,she,Subject pronoun.,,,
Pronouns,то,to,it,Subject pronoun.,,,
Pronouns,ние,nie,we,Subject pronoun.,,,
Pronouns,вие,vie,you (formal or plural),Subject pronoun.,,,
Pronouns,те,te,they,Subject pronoun.,,,
Pronouns,мен,men,me,Object pronoun.,,,
Pronouns,теб,teb,you,Object pronoun.,,,
Pronouns,него,nego,him,Object pronoun.,,,
Pronouns,нея,neya,her,Object pronoun.,,,
Pronouns,нас,nas,us,Object pronoun.,,,
Pronouns,вас,vas,you,Object pronoun.,,,
Pronouns,тях,tyah,them,Object pronoun.,,,
Questions,кой,koy,who,-,,,
Questions,какво,kakvo,what,-,,,
Questions,къде,kŭde,where,-,,,
Questions,кога,koga,when,-,,,
Questions,защо,zashto,why,-,,,
Questions,как,kak,how,-,,,
Questions,кой,koy,which,-,,,
Questions,чий,chiy,whose,-,,,
Questions,колко,kolko,how much/many,-,,,
Questions,какъв,kakŭv,what kind,-,,,
Questions,колко,kolko,how much/how many,-,,,
Shopping,пари,pari,money,-,,,
Shopping,цена,tsena,price,-,,,
Shopping,скъп,skŭp,expensive,-,,,
Shopping,евтин,evtin,cheap,-,,,
Shopping,магазин,magazin,shop,-,,,
Shopping,купувам,kupuvam,to buy,-,,,
Shopping,продавам,prodavam,to sell,-,,,
Shopping,плащам,plashtam,to pay,-,,,
Shopping,касиер,kasier,cashier,-,,,
Shopping,количка,kolichka,shopping cart,-,,,
Shopping,отстъпка,otstŭpka,discount,-,,,
Shopping,размер,razmer,size,-,,,
Shopping,сметка,smetka,bill,-,,,
Shopping,кредитна карта,kreditna karta,credit card,-,,,
Shopping,пазар,pazar,market,-,,,
Sports,футбол,futbol,football/soccer,-,,,
Sports,баскетбол,basketbol,basketball,-,,,
Sports,волейбол,voleybol,volleyball,-,,,
Sports,тенис,tenis,tennis,-,,,
Sports,плуване,pluvane,swimming,-,,,
Sports,бягане,byagane,running,-,,,
Sports,колоездене,kolezdene,cycling,-,,,
Sports,ски,ski,skiing,-,,,
Sports,гимнастика,gimnastika,gymnastics,-,,,
Sports,борба,borba,wrestling,-,,,
Sports,бокс,boks,boxing,-,,,
Sports,хокей,hokey,hockey,-,,,
Sports,гол,gol,goal,-,,,
Sports,отбор,otbor,team,-,,,
Sports,играч,igrach,player,-,,,
Technology,компютър,kompyutar,computer,-,,,
Technology,телефон,telefon,telephone,-,,,
Technology,интернет,internet,internet,-,,,
Technology,софтуер,softuer,software,-,,,
Technology,хардуер,harduer,hardware,-,,,
Technology,приложение,prilozhenie,application,-,,,
Technology,уебсайт,websait,website,-,,,
Technology,имейл,imeyl,email,-,,,
Technology,парола,parola,password,-,,,
Technology,сървър,sŭrver,server,-,,,
Technology,данни,danni,data,-,,,
Technology,файл,fayl,file,-,,,
Technology,папка,papka,folder,-,,,
Technology,екран,ekran,screen,-,,,
Technology,клавиатура,klaviatura,keyboard,-,,,
Time,сега,sega,now,-,,,
Time,после,posle,later,-,,,
Time,скоро,skoro,soon,-,,,
Time,вчера,vchera,yesterday,-,,,
Time,днес,dnes,today,-,,,
Time,утре,utre,tomorrow,-,,,
Time,сутрин,sutrin,morning,-,,,
Time,следобед,sledobed,afternoon,-,,,
Time,вечер,vecher,evening,-,,,
Time,нощ,nosht,night,-,,,
Time,седмица,sedmitsa,week,-,,,
Time,месец,mesets,month,-,,,
Time,година,godina,year,-,,,
Time,понеделник,ponedelnik,Monday,-,,,
