Category,Bulgarian Phrase,Pronunciation,English Translation
Sports,"Да, играя в аматьорски отбор.","Da, igraya v amat'orski otbor.","Yes, I play in an amateur team."
Sports,Кой е любимият ти отбор?,Koy e lyubimiyat ti otbor?,Which team is your favourite?
Sports,Следя Левски и ЦСКА.,Sledya Levski i CSKA.,I follow Levski and CSKA.
Sports,Какво мислиш за днешната игра?,Kakvo mislish za dneshnata igra?,What do you think about today's game?
Sports,"Беше вълнуващо, но отбора ни загуби.","Beshe valnuvashcho, no otbora ni zagubi.",It was exciting but our team lost.
Sports,Ходи ли често на тренировки?,Hodi li chesto na trenirovki?,Do you go to training often?
Sports,Тренирам три пъти седмично.,Treniram tri pati sedmichno.,I train three times a week.
Sports,Обичаш ли да гледаш спорт по телевизията?,Obichash li da gledash sport po televiziyata?,Do you like watching sports on TV?
Sports,Предпочитам да гледам на живо.,Predpochitam da gledam na zhivo.,I prefer watching live.
Sports,Кой е най-добрият играч на отбора?,Koy e nay-dobriyat igrach na otbora?,Who is the best player on the team?
Sports,"Той е бърз и силен, отличен нападател.","Toy e barz i silen, otlichen napadatel.","He is fast and strong, an excellent striker."
Sports,Играете ли други спортове?,Igrayete li drugi sportove?,Do you play other sports?
Sports,Понякога ходя на тенис и волейбол.,Ponyakoga hodya na tenis i voleybol.,Sometimes I go to tennis and volleyball.
Sports,Какво мислиш за формата на вратаря?,Kakvo mislish za formata na vratarya?,What do you think about the goalkeeper's form?
Sports,"Мисля, че трябва да работи върху спасителните си реакции.","Mishlya, che tryabva da raboti varhu spasitelnite si reaktsii.",I think he needs to work on his save reactions.
Sports,Ще гледаш ли мача утре?,Shte gledash li macha utre?,Will you watch the match tomorrow?
Sports,"Да, ще бъде забавно да го гледаме заедно.","Da, shte bade zabavno da go gledame zaedno.","Yes, it will be fun to watch it together."
Sports,Колко точки вкара този сезон?,Kolko tochki vkara tozi sezon?,How many goals did he score this season?
Sports,Вкара осем гола досега.,Vkara osem gola dosega.,He has scored eight goals so far.
Sports,Трябва ли да отбележа тренировката в календара?,Tryabva li da otbelezha trenirovkata v kalendara?,Should I mark the training in the calendar?
Sports,"Да, така няма да го забравиш.","Da, taka nyama da go zabravish.","Yes, that way you won't forget it."
Sports,Пожелавам ви успех на утрешния мач!,Pozhelavam vi uspeh na utreshniya mach!,I wish you good luck for tomorrow's match!
Sports,Благодаря! Надявам се да победим.,Blagodarya! Nadyavam se da pobedim.,Thanks! I hope we win.
Comical,"Имаше един човек, който влезе в бар... Опа!","Ima-she edin cho-vek, koy-to vle-ze v bar... Opa!",There was a man who walked into a bar... Oops!
Comical,Защо пилеца пресече пътя? За да стигне до другата страна!,Za-shto pi-le-tsa pre-se-che pa-tya? Za da stig-ne do dru-ga-ta stra-na!,Why did the chicken cross the road? To get to the other side!
Comical,Колко програмисти са нужни за смяна на крушка? Нито един - това е хардуерен проблем.,Kol-ko pro-gram-i-sti sa nuzh-ni za smya-na na krush-ka? Ni-to edin - to-va e har-du-er-en prob-lem.,How many programmers does it take to change a lightbulb? None - that's a hardware problem.
Comical,"Срещнах приятел и той каза: 'Изглеждаш уморен.' Аз отвърнах: 'Не съм уморен, просто лицето ми се е отказало.'","Sresht-nah pri-ya-tel i toy ka-za: 'Iz-glezh-dash u-mo-ren.' Az ot-var-nah: 'Ne sam u-mo-ren, prosto li-tse-to mi se e ot-ka-za-lo.'","I met a friend and he said: 'You look tired.' I replied: 'I'm not tired, just my face has given up.'"
Comical,Какво казва един компютър на другия? 'Спри да ме вирусираш!',Kak-vo ka-z-va edin kom-pyu-tar na dru-gi-ya? 'Spri da me vi-ru-si-rash!',What does one computer say to another? 'Stop virus-ing me!'
Comical,Защо математикът не харесва морето? Защото е пълно с алгебри...,Za-shto ma-te-ma-ti-kat ne ha-re-sva mo-re-to? Za-sho-to e pal-no s al-ge-bri...,Why doesn't the mathematician like the ocean? Because it's full of algae...
Comical,Слушаш ли този нов шегич? Той е много повтарящ се!,Slush-ash li to-zi nov she-gich? Toy e mnogo pov-ta-ryasht se!,Are you listening to this new joke? It's very repetitive!
Comical,Как се казва българската версия на супергерой? Супер-селянин!,Kak se ka-z-va bal-gar-ska-ta ver-si-ya na su-per-geroy? Su-per-se-lya-nin!,What's the Bulgarian version of a superhero called? Super-villager!
Comical,"Когато се смея твърде много, започвам да кихтя. Това е моят суперсила!","Kog-ato se sme-ya tvar-de mno-go, za-po-chvam da kiht-ya. To-va e mo-yat su-per-si-la!","When I laugh too much, I start sneezing. That's my superpower!"
Comical,"Питат ме: 'Имаш ли чувство за хумор?' Отговарям: 'Зависи... понякога да, понякога не, понякога може би.'","Pi-tat me: 'Imash li chuv-stvo za hu-mor?' Ot-go-va-ryam: 'Za-vi-si... po-nya-ko-ga da, po-nya-ko-ga ne, po-nya-ko-ga mo-zhe bi.'","They ask me: 'Do you have a sense of humor?' I answer: 'It depends... sometimes yes, sometimes no, sometimes maybe.'"
Comical,Защо баницата отишла при психолога? Защото се чувствала твърде нарязана!,Za-shto ba-ni-tsa-ta o-tish-la pri psi-ho-lo-ga? Za-sho-to se chuv-stva-la tvar-de na-rya-za-na!,Why did the banitsa go to the psychologist? Because it felt too cut up!
Comical,"Какво прави един българин, когато му е студено? Включва парното и отваря прозореца!","Kak-vo pra-vi edin bal-ga-rin, ko-ga-to mu e stu-de-no? Vklyuch-va par-no-to i ot-va-rya pro-zo-ret-sa!",What does a Bulgarian do when he's cold? Turns on the heating and opens the window!
Comical,Най-смешната дума на български? 'Пръдня' - дори звучи смешно!,Nay-smesh-na-ta du-ma na bal-gar-ski? 'Prad-nya' - do-ri zvuchi smesh-no!,The funniest word in Bulgarian? 'Fart' - it even sounds funny!
Music,Какъв музикален инструмент свириш?,Ka-kav mu-zi-ka-len in-stru-ment svi-rish?,What musical instrument do you play?
Music,Свиря на китара от пет години.,Svi-rya na ki-ta-ra ot pet go-di-ni.,I've been playing guitar for five years.
Music,Искаш ли да формираме група?,Is-kash li da for-mi-ra-me gru-pa?,Do you want to form a band?
Music,Какъв е любимият ти музикален жанр?,Ka-kav e lyu-bi-mi-yat ti mu-zi-ka-len zhanr?,What's your favorite music genre?
Music,Обичам български folk музика.,O-bi-cham bal-gar-ski folk mu-zi-ka.,I love Bulgarian folk music.
Music,Този певец има невероятен глас.,To-zi pe-vets i-ma ne-ve-ro-ya-ten glas.,This singer has an amazing voice.
Music,Бих искал да науча да свиря на пиано.,Bih is-kal da na-u-cha da svi-rya na pi-a-no.,I would like to learn to play piano.
Music,"Кой е най-добрият концерт, на който си бил?","Koy e nay-do-bri-yat kon-tsert, na koy-to si bil?",What's the best concert you've been to?
Music,Има ли добри музикални училища в София?,I-ma li do-bri mu-zi-kal-ni u-chi-li-shcha v So-fi-ya?,Are there good music schools in Sofia?
Music,Тази песен има много добър ритъм.,Ta-zi pe-sen i-ma mnogo do-bar ri-tam.,This song has a very good rhythm.
Music,Можеш ли да пееш в тон?,Mo-zhesh li da pe-esh v ton?,Can you sing in tune?
Music,Кои са твоите любими български изпълнители?,Ko-i sa tvo-i-te lyu-bi-mi bal-gar-ski iz-pal-ni-te-li?,Who are your favorite Bulgarian performers?
Music,Обичам стари български рок групи.,O-bi-cham sta-ri bal-gar-ski rok gru-pi.,I love old Bulgarian rock bands.
Music,Трябва да купя нови струни за китарата.,Tryab-va da ku-pya no-vi stru-ni za ki-ta-ra-ta.,I need to buy new strings for my guitar.
Music,Имаш ли абсолютен слух?,I-mash li ab-so-lyu-ten sluh?,Do you have perfect pitch?
Music,Този барабанист има невероятно чувство за ритъм.,To-zi ba-ra-ba-nist i-ma ne-ve-ro-yat-no chuv-stvo za ri-tam.,This drummer has an incredible sense of rhythm.
Music,Къде мога да купя партитури?,Ka-de mo-ga da ku-pya par-ti-tu-ri?,Where can I buy sheet music?
Music,Харесваш ли класическа музика?,Ha-res-vash li kla-si-ches-ka mu-zi-ka?,Do you like classical music?
Music,Бетховен е моят любим композитор.,Bet-ho-ven e mo-yat lyu-bim kom-po-zi-tor.,Beethoven is my favorite composer.
Music,Искаш ли да отидем на концерт тази вечер?,Is-kash li da o-ti-dem na kon-tsert ta-zi ve-cher?,Do you want to go to a concert tonight?
Music,Колко струва билет за фестивала?,Kol-ko stru-va bi-let za fes-ti-va-la?,How much does a festival ticket cost?
Music,Тази зала има прекрасна акустика.,Ta-zi za-la i-ma pre-kras-na a-ku-sti-ka.,This hall has wonderful acoustics.
Music,Можеш ли да ми помогнеш с този акорд?,Mo-zhesh li da mi po-mog-nesh s to-zi akord?,Can you help me with this chord?
Music,Трябва да упражнявам по два часа всеки ден.,Tryab-va da up-raz-nya-vam po dva cha-sa vse-ki den.,I need to practice two hours every day.
Music,Кой е най-труден инструмент за свирене?,Koy e nay-tru-den in-stru-ment za svi-re-ne?,What's the most difficult instrument to play?
Music,Обичам да слушам джаз докато работя.,O-bi-cham da slu-sham dzhaz do-ka-to ra-bo-tya.,I love listening to jazz while working.
Music,Този сингъл е върху върха на класациите.,To-zi sin-gal e var-hu var-ha na kla-sa-tsi-i-te.,This single is at the top of the charts.
Music,Искам да запиша собствена песен.,Is-kam da za-pi-sha sobs-tve-na pe-sen.,I want to record my own song.
Music,Имаш ли предусилвател за китара?,I-mash li pre-du-sil-va-tel za ki-ta-ra?,Do you have a guitar amplifier?
Music,Коя е твоята любима песен от детството?,Ko-ya e tvo-ya-ta lyu-bi-ma pe-sen ot det-stvo-to?,What's your favorite song from childhood?
Music,Този музикант е истински виртуоз.,To-zi mu-zi-kant e is-tin-ski vir-tu-oz.,This musician is a true virtuoso.
Music,Харесвам как смесват традиционни и модерни звуци.,Ha-res-vam kak smes-vat tra-di-tsi-on-ni i mo-der-ni zvut-si.,I like how they mix traditional and modern sounds.
Music,Кога е следващият ви репетиция?,Ko-ga e sled-va-shti-yat vi re-pe-ti-tsi-ya?,When is your next rehearsal?
Music,Трябва да настроя китарата си.,Tryab-va da nas-tro-ya ki-ta-ra-ta si.,I need to tune my guitar.
Music,Има ли добри музикални магазини наоколо?,I-ma li do-bri mu-zi-kal-ni ma-ga-zi-ni na-o-ko-lo?,Are there good music stores around?
Music,Обичам да пея под душ.,O-bi-cham da pe-ya pod dush.,I love singing in the shower.
Music,Тази мелодия е много пристрастяваща.,Ta-zi me-lo-di-ya e mnogo pris-tras-tya-va-shta.,This melody is very addictive.
Music,Кой е твоят любим текст в българска музика?,Koy e tvo-yat lyu-bim tekst v bal-gar-ska mu-zi-ka?,What's your favorite lyric in Bulgarian music?
Music,Искам да науча да чета ноти.,Is-kam da na-u-cha da che-ta no-ti.,I want to learn to read sheet music.
Music,Този бас китарист е изключителен.,To-zi bas ki-ta-rist e iz-klyu-chi-te-len.,This bass guitarist is exceptional.
Music,Колко време отне да научиш тази песен?,Kol-ko vre-me ot-ne da na-u-chish ta-zi pe-sen?,How long did it take you to learn this song?
Music,Музиката ми помага да се релаксирам.,Mu-zi-ka-ta mi po-ma-ga da se re-lak-si-ram.,Music helps me relax.
Music,Имаш ли предложения за нова музика?,I-mash li pred-lo-zhe-ni-ya za no-va mu-zi-ka?,Do you have suggestions for new music?
Music,Обичам да слушам музика докато пътувам.,O-bi-cham da slu-sham mu-zi-ka do-ka-to pa-tu-vam.,I love listening to music while traveling.
Music,Този албум е истинско произведение на изкуството.,To-zi al-bum e is-tin-sko pro-iz-ve-de-nie na is-kus-tvo-to.,This album is a true work of art.
Music,"Коя е най-емоционалната песен, която познаваш?","Ko-ya e nay-e-mo-tsi-o-nal-na-ta pe-sen, ko-ya-to poz-na-vash?",What's the most emotional song you know?
Music,Свириш ли на други инструменти освен китара?,Svi-rish li na dru-gi in-stru-men-ti os-ven ki-ta-ra?,Do you play other instruments besides guitar?
Music,Музиката е универсален език.,Mu-zi-ka-ta e u-ni-ver-sa-len e-zik.,Music is a universal language.
Music,Кои са влиянията във вашата музика?,Ko-i sa vli-ya-ni-ya-ta vav vasha-ta mu-zi-ka?,What are the influences in your music?
Music,Обичам енергията на живите концерти.,O-bi-cham ener-gi-ya-ta na zhi-vi-te kon-tse-rti.,I love the energy of live concerts.
Inimacy,Обичам те.,O-bi-cham te.,I love you.
Inimacy,Много ми липсваш.,Mno-go mi lip-svash.,I miss you so much.
Inimacy,Искам да бъда с теб.,Is-kam da ba-da s teb.,I want to be with you.
Inimacy,Можеш ли да ме прегърнеш?,Mo-zhesh li da me pre-gar-nesh?,Can you hug me?
Inimacy,Целуни ме.,Tse-lu-ni me.,Kiss me.
Inimacy,Ти си много красив/красива.,Ti si mno-go kra-siv/kra-si-va.,You are very handsome/beautiful.
Inimacy,Харесва ми как миришеш.,Ha-res-va mi kak mi-ri-shesh.,I like how you smell.
Inimacy,"Чувствам се добре, когато съм с теб.","Chuv-stvam se do-bre, ko-ga-to sam s teb.",I feel good when I am with you.
Inimacy,Искам да прекарам повече време с теб.,Is-kam da pre-ka-ram po-ve-che vre-me s teb.,I want to spend more time with you.
Inimacy,Ти си много специален/специална за мен.,Ti si mno-go spe-tsi-a-len/spe-tsi-al-na za men.,You are very special to me.
Inimacy,Доверявам ти се.,Do-ve-rya-vam ti se.,I trust you.
Inimacy,Чувстваш ли се комфортно?,Chuv-stvash li se kom-fort-no?,Do you feel comfortable?
Inimacy,Как се чувстваш?,Kak se chuv-stvash?,How do you feel?
Inimacy,Искам да те направя щастлив/щастлива.,Is-kam da te na-pra-vya shtast-liv/shtast-li-va.,I want to make you happy.
Inimacy,Можеш ли да останеш тази вечер?,Mo-zhesh li da os-ta-nesh ta-zi ve-cher?,Can you stay tonight?
Inimacy,Дойди по-близо до мен.,Doy-di po-bli-zo do men.,Come closer to me.
Inimacy,Докосни ме.,Do-kos-ni me.,Touch me.
Inimacy,Това чувство между нас е силно.,To-va chuv-stvo mezh-du nas e sil-no.,This feeling between us is strong.
Inimacy,Харесва ми докосването ти.,Ha-res-va mi do-kos-va-ne-to ti.,I like your touch.
Inimacy,Гласът ти ме развълнува.,Gla-sat ti me raz-val-nu-va.,Your voice excites me.
Inimacy,Искам да те целувам.,Is-kam da te tse-lu-vam.,I want to kiss you.
Inimacy,Погледът ти ме кара да се разтопя.,Pog-le-dat ti me ka-ra da se raz-to-pya.,Your gaze makes me melt.
Inimacy,Да спим заедно.,Da spim za-ed-no.,Let's sleep together.
Inimacy,Бъди с мен.,Ba-di s men.,Be with me.
Inimacy,Никой не ме кара да се чувствам така както ти.,Ni-koy ne me ka-ra da se chuv-stvam ta-ka kak-to ti.,No one makes me feel the way you do.
Inimacy,Мисля за теб през целия ден.,Mis-lya za teb prez tse-li-ya den.,I think about you all day.
Inimacy,Ти си първото ми мисълeне сутрин.,Ti si par-vo-to mis-le-ne su-trin.,You are my first thought in the morning.
Inimacy,Чувствам се в безопасност с теб.,Chuv-stvam se v be-zo-pas-nost s teb.,I feel safe with you.
Inimacy,"Не мога да прекратя да се усмихвам, когато съм с теб.","Ne mo-ga da pre-kra-tya da se us-mih-vam, ko-ga-to sam s teb.",I can't stop smiling when I'm with you.
Inimacy,"Ти си точно това, което искам.","Ti si toch-no to-va, ko-e-to is-kam.",You are exactly what I want.
Inimacy,Желая те.,Zhe-la-ya te.,I desire you.
Inimacy,Да се насладим един на друг.,Da se nas-la-dim edin na drug.,Let's enjoy each other.
Inimacy,Какво ти харесва?,Kak-vo ti ha-re-sva?,What do you like?
Inimacy,Това ли ти е приятно?,To-va li ti e pri-yat-no?,Does this feel good for you?
Inimacy,Можеш ли да ми покажеш какво ти харесва?,Mo-zhesh li da mi po-ka-zhesh kak-vo ti ha-re-sva?,Can you show me what you like?
Inimacy,Не се притеснявай да ми кажеш.,Ne se pri-tes-nyavay da mi ka-zhesh.,Don't hesitate to tell me.
Inimacy,Всичко е наред.,Vsich-ko e na-red.,Everything is okay.
Inimacy,Бавя се с теб.,Ba-vya se s teb.,I'm taking my time with you.
Inimacy,Ти си толкова мека/мек.,Ti si tol-ko-va me-ka/mek.,You are so soft.
Inimacy,Кожата ти е толкова нежна.,Ko-zha-ta ti e tol-ko-va nezh-na.,Your skin is so soft.
Inimacy,Обичам как се усмихваш.,O-bi-cham kak se us-mih-vash.,I love how you smile.
Inimacy,Топлината ти ме успокоява.,Top-li-na-ta ti me us-po-ko-ya-va.,Your warmth calms me.
Inimacy,Нека просто да лежим и да се наслаждаваме.,Ne-ka prost-o da le-zhim i da se nas-lazh-da-va-me.,Let's just lie here and enjoy.
Inimacy,Сбъдна мечтата си.,Sbad-na mech-ta-ta si.,You are my dream come true.
Inimacy,Никога не съм се чувствал/чувствала така.,Ni-ko-ga ne sam se chuv-stval/chuv-stva-la ta-ka.,I have never felt this way before.
Inimacy,Ти си всичко за мен.,Ti si vsich-ko za men.,You are everything to me.
Inimacy,Направи ме щастлив/щастлива.,Na-pra-vi me shtast-liv/shtast-li-va.,You make me happy.
Inimacy,Искам да се грижа за теб.,Is-kam da se gri-zha za teb.,I want to take care of you.
Inimacy,Остани с мен.,Os-ta-ni s men.,Stay with me.
Inimacy,Притегляш ме.,Pri-te-glyash me.,I am attracted to you.
Inimacy,Нека да бъдем близки.,Ne-ka da ba-dem bliz-ki.,Let's be close.
Inimacy,Това беше прекрасно.,To-va be-she pre-kras-no.,That was wonderful.
Health,Не се чувствам добре.,Ne se chuv-stvam do-bre.,I don't feel well.
Health,Имам температура.,I-mam tem-pe-ra-tu-ra.,I have a fever.
Health,Боли ме гърлото.,Bo-li me gar-lo-to.,My throat hurts.
Health,Главата ме боли силно.,Gla-va-ta me bo-li sil-no.,I have a strong headache.
Health,Страдам от гадене и повръщане.,Stra-dam od ga-de-ne i pov-rashta-ne.,I suffer from nausea and vomiting.
Health,Трябва да отида на лекар.,Tryab-va da o-ti-da na le-kar.,I need to go to a doctor.
Health,Къде е най-близката болница?,Ka-de e nay-bliz-ka-ta bol-ni-tsa?,Where is the nearest hospital?
Health,Трябва ли записване?,Tryab-va li za-pis-va-ne?,Do I need an appointment?
Health,Имам здравна осигуровка.,I-mam zdrav-na o-si-gu-rov-ka.,I have health insurance.
Health,Боли ме here.,Bo-li me to-va myas-to.,This spot hurts.
Health,Колко време ще трябва да чакам?,Kol-ko vre-me shte tryab-va da cha-kam?,How long will I have to wait?
Health,Имам алергия към пеницилин.,I-mam al-er-gi-ya kam pe-ni-tsi-lin.,I am allergic to penicillin.
Health,Приемам това лекарство.,Pri-e-mam to-va le-kar-stvo.,I am taking this medicine.
Health,Може ли да ми дате рецепта?,Mo-zhe li da mi da-te re-tsep-ta?,Can you give me a prescription?
Health,Имам диабет.,I-mam di-a-bet.,I have diabetes.
Health,Кръвното ми налягане е високо.,Krav-no-to mi na-lya-ga-ne e vi-so-ko.,My blood pressure is high.
Health,Имам болки в гърдите.,I-mam bol-ki v gar-di-te.,I have chest pains.
Health,Това е спешен случай.,To-va e spe-shen slu-chay.,This is an emergency.
Health,Може ли да говорите по-бавно?,Mo-zhe li da go-vo-ri-te po-bav-no?,Can you speak more slowly?
Health,Къде е тоалетната?,Ka-de e to-a-let-na-ta?,Where is the bathroom?
Health,Чувствам се замаяно.,Chuv-stvam se za-may-a-no.,I feel dizzy.
Health,Счупих си крака.,Schu-pih si kra-ka.,I broke my leg.
Health,Трябва ли да плащам сега?,Tryab-va li da plashtam se-ga?,Do I need to pay now?
Health,Имам болка в корема.,I-mam bol-ka v ko-re-ma.,I have a stomach ache.
Health,Кога трябва да дойда отново?,Ko-ga tryab-va da doy-da ot-no-vo?,When should I come back?
Health,Може ли резултатите от изследванията?,Mo-zhe li re-zul-ta-ti-te ot iz-sle-dva-ni-ya-ta?,Can I have the test results?
Health,Трябва ли операция?,Tryab-va li o-pe-ra-tsi-ya?,Do I need surgery?
Health,Колко ще струва лечението?,Kol-ko shte stru-va le-che-ni-e-to?,How much will the treatment cost?
Health,Имам астма.,I-mam ast-ma.,I have asthma.
Health,Може ли вода за пиене?,Mo-zhe li vo-da za pi-e-ne?,Can I have some water to drink?
Health,Кой е най-добрият специалист?,Koy e nay-do-bri-yat spe-tsi-a-list?,Who is the best specialist?
Health,Лекуващ лекар.,Le-ku-vasht le-kar.,Attending physician.
Health,Медицинска сестра.,Me-di-tsin-ska se-stra.,Nurse.
Health,Кръвна проба.,Krav-na pro-ba.,Blood test.
Health,Това е сериозно?,To-va e se-ri-oz-no?,Is this serious?
Health,Какви са страничните ефекти?,Kak-vi sa stra-nich-ni-te efek-ti?,What are the side effects?
Health,Имам треска.,I-mam tre-ska.,I have a fever.
Health,Може ли да се обадя на някой?,Mo-zhe li da se o-ba-dya na nyakoy?,Can I call someone?
Health,Къде мога да купя лекарствата?,Ka-de mo-ga da ku-pya le-kar-stva-ta?,Where can I buy the medicines?
Health,Чувствам се по-добре.,Chuv-stvam se po-do-bre.,I feel better.
Health,Болката е поносима.,Bol-ka-ta e po-no-si-ma.,The pain is bearable.
Health,Имам проблеми със съня.,I-mam prob-le-mi sas sa-nya.,I have sleep problems.
Health,Колко време ще продължи възстановяването?,Kol-ko vre-me shte pro-dal-zhi vaz-sta-no-vya-va-ne-to?,How long will the recovery take?
Health,Може ли втората диагноза?,Mo-zhe li vto-ra-ta di-ag-no-za?,Can I get a second opinion?
Health,Имам здравословни проблеми.,I-mam zdra-vo-slov-ni prob-le-mi.,I have health problems.
Health,Трябва да си почина.,Tryab-va da si po-chi-na.,I need to rest.
